date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
20100101,2.0,6.4,49.0,5.0,1.6,-0.5,0.0,100560.0,0.0
20100102,4.0,5.9,48.0,3.0,1.3,-2.4,0.0,101550.0,0.0
20100103,2.0,3.9,39.0,0.9,1.2,-0.6,0.0,102280.0,0.0
20100104,0.0,6.3,50.0,2.1,-2.5,-5.8,0.2,101960.0,0.0
20100105,7.0,0.1,15.0,1.0,-1.9,-5.9,2.0,100520.0,0.0
20100106,7.0,0.0,13.0,0.1,-0.9,-2.8,2.6,100290.0,2.0
20100107,3.0,3.0,36.0,0.8,-2.8,-5.7,1.0,101160.0,4.0
20100108,4.0,2.1,31.0,1.7,-2.4,-5.6,0.2,102200.0,3.0
20100109,2.0,2.2,32.0,2.3,-0.9,-3.5,0.0,102340.0,3.0
20100110,8.0,0.0,14.0,1.7,-0.3,-2.8,1.4,101830.0,3.0
20100111,8.0,0.0,14.0,1.8,0.9,0.1,1.4,101900.0,2.0
20100112,8.0,0.0,14.0,2.4,1.1,0.4,0.0,100940.0,2.0
20100113,8.0,0.0,14.0,3.8,1.1,-0.2,8.2,100060.0,3.0
20100114,8.0,0.0,14.0,6.8,1.8,-0.2,0.4,100490.0,1.0
20100115,8.0,0.0,15.0,8.0,3.6,0.4,1.6,101720.0,0.0
20100116,8.0,0.0,15.0,9.3,4.4,0.8,9.4,100640.0,0.0
20100117,1.0,6.2,56.0,7.8,5.7,2.0,0.2,101640.0,0.0
20100118,6.0,0.0,15.0,8.0,4.4,0.9,0.0,102490.0,0.0
20100119,8.0,0.1,18.0,3.4,6.1,4.2,1.4,102120.0,0.0
20100120,8.0,0.0,16.0,7.8,3.0,2.6,3.4,101210.0,0.0
20100121,7.0,2.2,37.0,8.6,5.1,2.3,1.0,101920.0,0.0
20100122,8.0,0.0,16.0,6.5,5.7,2.8,5.2,101700.0,0.0
20100123,7.0,0.0,17.0,6.2,6.2,5.9,0.0,102030.0,0.0
20100124,7.0,0.0,17.0,4.9,4.7,3.1,1.4,102410.0,0.0
20100125,7.0,0.1,19.0,3.0,4.0,3.0,1.6,103100.0,0.0
20100126,4.0,3.0,45.0,6.9,2.2,1.4,0.0,104030.0,0.0
20100127,6.0,0.1,20.0,7.5,1.9,-3.1,0.4,103030.0,0.0
20100128,7.0,0.3,23.0,5.7,4.0,0.4,8.6,101280.0,0.0
20100129,5.0,1.8,38.0,3.9,5.1,4.4,0.2,99380.0,0.0
20100130,2.0,7.2,72.0,3.9,1.1,-1.8,0.0,100050.0,0.0
20100131,2.0,0.4,26.0,6.5,0.3,-3.3,0.0,100590.0,0.0
20100201,2.0,4.9,61.0,8.7,2.3,-1.9,0.4,101340.0,0.0
20100202,7.0,0.0,20.0,9.1,4.6,0.5,1.2,100690.0,0.0
20100203,8.0,0.0,20.0,8.5,6.2,3.2,2.0,100820.0,0.0
20100204,8.0,0.0,20.0,12.1,6.0,3.5,3.0,100520.0,0.0
20100205,4.0,3.5,56.0,7.2,9.1,6.1,0.4,100020.0,0.0
20100206,7.0,2.1,46.0,5.6,5.7,4.2,0.0,101330.0,0.0
20100207,8.0,0.1,24.0,2.8,4.6,3.5,0.4,102260.0,0.0
20100208,8.0,0.0,22.0,6.1,2.4,1.9,0.4,101280.0,0.0
20100209,5.0,3.2,57.0,3.6,3.0,-0.1,0.2,101180.0,0.0
20100210,4.0,3.9,63.0,3.7,2.3,0.9,0.0,101650.0,0.0
20100211,5.0,6.3,81.0,5.0,1.5,-0.7,0.6,102140.0,0.0
20100212,8.0,0.0,24.0,4.2,2.4,-0.3,0.2,102300.0,0.0
20100213,7.0,0.5,34.0,5.1,2.6,0.9,0.0,102240.0,0.0
20100214,7.0,0.0,24.0,4.8,3.0,0.9,0.2,101650.0,0.0
20100215,7.0,0.0,25.0,5.6,1.8,-1.3,8.2,100630.0,0.0
20100216,8.0,0.0,25.0,8.9,3.0,0.4,17.0,99360.0,0.0
20100217,4.0,6.2,87.0,6.1,5.7,2.4,0.2,99090.0,0.0
20100218,7.0,0.0,26.0,6.4,2.7,-0.8,9.0,98990.0,0.0
20100219,5.0,2.7,62.0,7.0,4.0,1.5,0.2,99370.0,0.0
20100220,1.0,6.5,93.0,8.1,2.2,-2.6,1.0,99750.0,0.0
20100221,7.0,0.3,35.0,3.2,2.7,-2.8,14.8,99310.0,0.0
20100222,8.0,0.0,28.0,7.3,2.9,2.5,0.6,98640.0,0.0
20100223,8.0,0.1,32.0,11.6,4.8,2.2,3.4,99220.0,0.0
20100224,7.0,0.4,39.0,9.8,7.0,2.3,4.8,99000.0,0.0
20100225,7.0,0.0,30.0,9.1,8.3,6.7,6.8,98650.0,0.0
20100226,5.0,4.7,87.0,11.1,7.3,5.4,1.0,98900.0,0.0
20100227,7.0,1.1,51.0,7.0,7.6,4.0,20.2,99310.0,0.0
20100228,8.0,0.2,37.0,10.5,6.3,5.5,4.2,98930.0,0.0
20100301,0.0,9.5,141.0,10.5,5.4,0.3,0.0,101070.0,0.0
20100302,2.0,9.5,143.0,6.9,4.8,-1.0,0.0,102230.0,0.0
20100303,7.0,0.6,51.0,7.9,4.7,2.4,0.0,102110.0,0.0
20100304,4.0,5.0,106.0,9.5,5.0,2.1,0.0,102440.0,0.0
20100305,1.0,8.1,136.0,7.8,2.7,-4.2,0.0,102950.0,0.0
20100306,3.0,5.4,113.0,5.5,4.2,0.5,0.0,102770.0,0.0
20100307,0.0,10.2,158.0,7.1,1.3,-3.0,0.0,103300.0,0.0
20100308,3.0,7.0,131.0,8.0,2.4,-2.4,0.0,102980.0,0.0
20100309,7.0,0.5,53.0,5.8,5.0,2.0,0.0,102940.0,0.0
20100310,7.0,0.0,40.0,6.6,4.1,2.4,0.0,102900.0,0.0
20100311,6.0,1.6,74.0,8.9,4.1,1.6,0.0,102470.0,0.0
20100312,7.0,1.0,65.0,9.1,5.2,1.5,2.4,102220.0,0.0
20100313,7.0,1.6,76.0,12.5,6.5,3.9,0.0,102980.0,0.0
20100314,3.0,5.6,127.0,13.2,8.7,4.9,0.0,102840.0,0.0
20100315,2.0,7.1,144.0,13.1,7.9,2.5,0.0,102730.0,0.0
20100316,3.0,8.7,162.0,15.1,7.5,1.9,0.0,102580.0,0.0
20100317,4.0,1.3,75.0,17.3,9.4,3.7,0.0,102200.0,0.0
20100318,6.0,2.9,100.0,12.7,11.4,5.4,1.2,101540.0,0.0
20100319,7.0,1.4,78.0,13.4,10.7,8.7,5.6,101100.0,0.0
20100320,8.0,0.0,46.0,13.1,11.6,9.7,3.4,100390.0,0.0
20100321,5.0,2.8,102.0,12.3,9.8,6.5,0.0,101610.0,0.0
20100322,5.0,2.3,96.0,11.7,9.2,6.1,1.0,101790.0,0.0
20100323,4.0,2.5,100.0,17.5,6.8,1.8,1.2,101610.0,0.0
20100324,7.0,4.4,127.0,14.7,12.6,7.6,5.0,100530.0,0.0
20100325,7.0,0.1,55.0,13.7,12.7,10.6,4.4,99930.0,0.0
20100326,6.0,3.7,120.0,14.1,10.5,7.2,0.8,100090.0,0.0
20100327,7.0,0.7,72.0,13.3,10.4,6.6,0.0,100480.0,0.0
20100328,6.0,2.0,97.0,12.6,9.1,4.9,4.0,100780.0,0.0
20100329,8.0,0.0,52.0,12.3,10.1,7.5,5.0,99910.0,0.0
20100330,6.0,0.9,79.0,7.4,10.4,8.5,4.8,98750.0,0.0
20100331,6.0,0.0,53.0,10.3,5.7,4.0,1.0,99060.0,0.0
20100401,4.0,5.5,152.0,11.3,6.1,1.9,3.2,100760.0,0.0
20100402,6.0,2.7,114.0,11.8,7.7,4.0,9.8,100290.0,0.0
20100403,7.0,1.9,101.0,12.2,8.0,4.1,1.2,100030.0,0.0
20100404,5.0,4.1,137.0,14.0,9.0,5.7,0.0,101140.0,0.0
20100405,6.0,1.5,96.0,16.1,8.9,3.8,0.0,102170.0,0.0
20100406,3.0,8.2,192.0,11.0,10.9,5.7,0.0,101550.0,0.0
20100407,7.0,0.0,58.0,17.3,9.3,7.5,0.6,101790.0,0.0
20100408,1.0,11.7,235.0,18.4,10.4,3.4,0.0,103010.0,0.0
20100409,4.0,8.6,202.0,17.8,11.7,4.9,0.0,103330.0,0.0
20100410,2.0,9.3,212.0,14.9,12.7,7.5,0.0,103310.0,0.0
20100411,5.0,6.9,184.0,14.0,10.5,6.1,0.0,102920.0,0.0
20100412,5.0,4.2,148.0,15.7,10.1,6.2,0.0,102690.0,0.0
20100413,1.0,12.1,249.0,12.6,10.1,4.4,0.0,102410.0,0.0
20100414,6.0,2.5,122.0,14.4,9.7,6.7,0.0,102140.0,0.0
20100415,2.0,6.7,186.0,14.3,9.5,4.5,0.0,102360.0,0.0
20100416,3.0,7.6,200.0,17.4,9.6,4.9,0.0,102740.0,0.0
20100417,0.0,12.7,262.0,19.4,10.1,2.8,0.0,102200.0,0.0
20100418,1.0,12.1,257.0,17.2,11.4,3.4,0.0,101530.0,0.0
20100419,5.0,4.7,163.0,15.1,11.9,6.5,0.0,101650.0,0.0
20100420,3.0,10.3,239.0,13.1,10.1,5.1,0.0,101870.0,0.0
20100421,1.0,11.9,259.0,14.5,7.9,2.7,0.0,102090.0,0.0
20100422,2.0,12.2,265.0,17.8,9.0,3.5,0.0,101890.0,0.0
20100423,1.0,12.7,272.0,20.6,11.0,4.1,0.0,101670.0,0.0
20100424,1.0,10.7,250.0,18.9,12.5,4.3,1.0,101820.0,0.0
20100425,7.0,1.7,117.0,18.8,14.9,10.8,0.4,101990.0,0.0
20100426,4.0,3.1,144.0,21.0,13.6,8.3,0.0,102520.0,0.0
20100427,1.0,9.2,235.0,21.4,14.2,7.3,0.0,102710.0,
20100428,3.0,2.3,131.0,18.3,14.9,8.3,0.0,102030.0,
20100429,7.0,0.1,76.0,15.7,14.5,10.7,4.0,101050.0,
20100430,6.0,4.5,171.0,17.4,11.6,7.5,3.0,100930.0,
20100501,7.0,2.4,136.0,9.4,13.7,9.9,5.8,100900.0,
20100502,8.0,0.0,71.0,11.5,8.9,8.3,4.0,101180.0,
20100503,5.0,5.6,191.0,12.1,8.2,4.9,0.6,102230.0,
20100504,3.0,5.1,185.0,15.5,7.4,2.6,0.0,102690.0,
20100505,5.0,2.3,137.0,15.3,9.3,3.0,0.0,102060.0,
20100506,7.0,3.5,160.0,13.5,11.4,7.5,0.0,101260.0,
20100507,8.0,0.8,104.0,9.9,10.1,6.6,0.4,101190.0,
20100508,8.0,0.0,74.0,12.3,8.5,7.0,0.6,101240.0,
20100509,8.0,0.1,82.0,13.9,9.4,6.5,0.4,101260.0,
20100510,5.0,5.8,200.0,10.5,9.4,4.8,0.0,101250.0,
20100511,5.0,4.1,174.0,12.1,7.1,3.6,0.0,101300.0,
20100512,4.0,5.5,197.0,14.5,7.2,2.2,0.0,101520.0,
20100513,4.0,6.5,213.0,15.0,8.3,2.0,0.0,101460.0,
20100514,6.0,4.6,184.0,17.9,9.6,4.1,0.0,101220.0,
20100515,4.0,8.4,243.0,16.4,12.0,6.1,0.0,101530.0,
20100516,6.0,2.6,149.0,18.3,10.6,4.8,3.8,101670.0,
20100517,3.0,7.7,234.0,19.3,12.3,6.2,0.0,102380.0,
20100518,3.0,6.0,209.0,21.7,12.8,6.3,0.0,102850.0,
20100519,4.0,6.3,215.0,22.7,14.5,7.2,0.0,102960.0,
20100520,4.0,2.8,155.0,25.2,16.6,10.4,0.0,103180.0,
20100521,2.0,9.6,264.0,25.0,19.6,13.9,0.0,103090.0,
20100522,0.0,14.1,323.0,28.1,18.5,11.9,0.0,102920.0,
20100523,0.0,13.6,317.0,28.8,19.9,11.6,0.0,102370.0,
20100524,0.0,14.1,324.0,20.7,21.7,14.5,0.0,101440.0,
20100525,2.0,10.6,280.0,17.4,16.4,12.0,0.0,101210.0,
20100526,7.0,3.2,166.0,18.7,13.5,9.5,2.6,100980.0,
20100527,5.0,5.9,213.0,19.7,14.1,9.5,0.2,101000.0,
20100528,3.0,9.9,272.0,16.5,13.7,7.6,0.0,101430.0,
20100529,8.0,0.1,89.0,20.3,13.5,10.5,2.2,101050.0,
20100530,4.0,8.6,255.0,16.5,16.4,12.5,0.0,101120.0,
20100531,7.0,0.6,108.0,15.4,13.4,10.2,0.0,101970.0,
20100601,8.0,0.0,79.0,22.6,13.6,11.7,1.8,101700.0,
20100602,2.0,12.7,311.0,23.4,16.5,10.3,0.0,102180.0,
20100603,0.0,14.9,339.0,27.9,16.9,10.4,0.0,102270.0,
20100604,1.0,12.0,303.0,28.0,19.4,10.9,0.0,102020.0,
